GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category
deepmedic/deepmedic,Y,1059,540,6072,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmedic/deepmedic/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained documentation at https://github.com/deepmedic/deepmedic/tree/master/documentation,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmedic/deepmedic/issues/177",https://github.com/deepmedic/deepmedic/blob/master/LICENSE.txt is provided,There are a few files related to testing.,2024-08-04,8,6,765.6,Domain-Specific Applications,3,Efficient Multi-Scale 3D Convolutional Neural Network for Segmentation of 3D Medical Scans,"convolutional-neural-networks, deep-learning, machine-learning, medical-imaging, neural-networks",small,2016-04-26T18:23:31Z,2016-04-26 18:23:31,3508,16,2.635046113306983,Mature
deezer/spleeter,Y,27410,540,2291,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deezer/spleeter/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deezer/spleeter/blob/master/spleeter/__main__.py,Checking https://github.com/deezer/spleeter/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deezer/spleeter/issues/418 and https://github.com/deezer/spleeter/issues/415",https://github.com/deezer/spleeter/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-02,18,15,11576.0,MLOps / Deployment,2,Deezer source separation library including pretrained models.,"audio-processing, bass, deep-learning, deezer, drums, model, pretrained-models, python, tensorflow, vocals",small,2019-09-26T15:40:46Z,2019-09-26 15:40:46,2260,5,2.182453077258839,Young
dwadden/dygiepp,N,587,712,7411,The source code of the project exists as ad-hoc scripts.,https://github.com/dwadden/dygiepp/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/dwadden/dygiepp/blob/master/dygie/commands/predict_dygie.py,Checking https://github.com/dwadden/dygiepp/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/dwadden/dygiepp/issues/13","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There are many files related to testing.,2024-06-18,3,11,778.4,Natural Language Processing,1,"Span-based system for named entity, relation, and event extraction.",,small,2019-02-19T01:48:41Z,2019-02-19 01:48:41,2480,13,1.7541492376197543,Young
eleurent/rl-agents,Y,683,787,6640,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/eleurent/rl-agents/blob/master/scripts/analyze.py and https://github.com/eleurent/rl-agents/blob/master/scripts/experiments.py,Checking https://github.com/eleurent/rl-agents/pulse/monthly there has been only 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eleurent/rl-agents/issues/38",https://github.com/eleurent/rl-agents/blob/master/LICENSE is provided,There are many files related to testing.,2024-01-13,13,6,689.3,Reinforcement Learning,9,Implementations of Reinforcement Learning and Planning algorithms,"agents, planning, reinforcement-learning",small,2017-06-05T20:53:59Z,2017-06-05 20:53:59,3103,17,2.560240963855422,Mature
EpistasisLab/tpot,Y,9987,551,8506,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/EpistasisLab/tpot/graphs/contributors shows that there are multiple contributors,The project uses Travis CI and appveyor CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/EpistasisLab/tpot/issues/777 and https://github.com/EpistasisLab/tpot/issues/1075",https://github.com/EpistasisLab/tpot/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-11,12,9,4430.1,Data Science / Traditional ML,12,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,"adsp, ag066833, aiml, alzheimer, alzheimers, automated-machine-learning, automation, automl, data-science, feature-engineering, gradient-boosting, hyperparameter-optimization, machine-learning, model-selection, nia, parameter-tuning, python, random-forest, scikit-learn, u01ag066833",small,2015-11-03T21:08:40Z,2015-11-03 21:08:40,3683,41,4.820126969198213,Mature
ethen8181/machine-learning,Y,3415,520,2780,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ethen8181/machine-learning/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README,Checking https://github.com/ethen8181/machine-learning/pulse/monthly there has been 1 commit activity in the past month.,There aren't any open issues,https://github.com/ethen8181/machine-learning/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-27,5,10,1822.0,Data Science / Traditional ML,12,:earth_americas: machine learning tutorials (mainly in Python3) ,"data-science, deep-learning, jupyter-notebook, machine-learning, python, python3",small,2015-07-24T03:35:49Z,2015-07-24 03:35:49,3785,23,8.273381294964029,Mature
explosion/prodigy-recipes,Y,502,210,3842,The source code of the project exists as ad-hoc scripts.,https://github.com/explosion/prodigy-recipes/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/explosion/prodigy-recipes/blob/master/terms/terms_teach.py,Checking https://github.com/explosion/prodigy-recipes/pulse/monthly there has been 1 commit activity in the past month.,There aren't any open issues,https://github.com/explosion/prodigy-recipes/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-08-04,13,12,623.8,Natural Language Processing,3,"🍳 Recipes for the Prodigy, our fully scriptable annotation tool","active-learning, annotation, annotation-tool, artificial-intelligence, computer-vision, data-annotation, data-science, labeling-tool, machine-learning, machine-teaching, natural-language-processing, nlp, prodigy, spacy",small,2017-12-09T12:57:34Z,2017-12-09 12:57:34,2916,1,0.2602811035918792,Mature
explosion/spacy-transformers,Y,1394,1485,2897,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/explosion/spacy-transformers/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/explosion/spacy-transformers/blob/master/spacy_transformers/align.py,Checking https://github.com/explosion/spacy-transformers/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/explosion/spacy-transformers/issues/203",https://github.com/explosion/spacy-transformers/blob/master/LICENSE is provided,There are many files related to testing.,2025-05-26,8,20,1603.1,Natural Language Processing,7,"🛸 Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy","bert, google, gpt-2, huggingface, language-model, machine-learning, natural-language-processing, natural-language-understanding, nlp, openai, pytorch, pytorch-model, spacy, spacy-extension, spacy-pipeline, transfer-learning, xlnet",small,2019-07-26T19:12:34Z,2019-07-26 19:12:34,2322,0,0.0,Young
FunctionLab/selene,Y,386,860,6352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/FunctionLab/selene/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/FunctionLab/selene/issues/133 and https://github.com/FunctionLab/selene/issues/130",https://github.com/FunctionLab/selene/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-16,2,12,772.4,Data Science / Traditional ML,4,a framework for training sequence-level deep learning networks,"deep-learning, genomic-data-analysis, sampling-methods",small,2017-08-21T14:06:22Z,2017-08-21 14:06:22,3026,13,2.0465994962216625,Mature
geoopt/geoopt,Y,987,218,8404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geoopt/geoopt/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/geoopt/geoopt/tree/master/docs,Checking https://github.com/geoopt/geoopt/pulse/monthly there has been 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/geoopt/geoopt/issues/136",https://github.com/geoopt/geoopt/blob/master/LICENSE is provided,There are many files related to testing.,2025-08-04,2,10,760.2,Natural Language Processing,1,Riemannian Adaptive Optimization Methods with pytorch optim,"optimization, pytorch, riemannian-geometry, riemannian-manifold, riemannian-optimization",small,2018-11-07T17:32:53Z,2018-11-07 17:32:53,2583,4,0.47596382674916704,Young
geyang/ml_logger,Y,200,831,4472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geyang/ml_logger/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/geyang/ml_logger/tree/master/ml_logger/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/geyang/ml_logger/issues/28",https://github.com/geyang/ml_logger/blob/master/LICENSE.md is provided,There are many files related to testing.,2025-04-21,27,5,479.3,Data Science / Traditional ML,2,"A logger, server and visualization dashboard for ML projects",,small,2018-04-21T07:27:55Z,2018-04-21 07:27:55,2783,13,2.9069767441860463,Mature
gjy3035/C-3-Framework,N,723,133,4303,The source code of the project exists as ad-hoc scripts.,https://github.com/gjy3035/C-3-Framework/graphs/contributors that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/gjy3035/C-3-Framework/issues/81",https://github.com/gjy3035/C-3-Framework/blob/python3.x/LICENSE is provided,There are few files related to testing.,2024-03-30,2,6,509.1,Computer Vision,3,An open-source PyTorch code for crowd counting,"computer-vision, crowd-analysis, crowd-counting, deep-learning",small,2018-12-22T01:02:21Z,2018-12-22 01:02:21,2539,19,4.415524052986289,Young
google/fhir,Y,897,1461,80,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/fhir/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/fhir/tree/master/py/google/fhir/labels, https://github.com/google/fhir/tree/master/py/google/fhir/models and https://github.com/google/fhir/tree/master/py/google/fhir/seqex",Checking https://github.com/google/fhir/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/fhir/issues/13",https://github.com/google/fhir/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-25,12,38,1937.1,Domain-Specific Applications,2,FHIR Protocol Buffers,"fhir, healthcare, hl7",small,2018-01-10T04:54:52Z,2018-01-10 04:54:52,2884,0,0.0,Mature
google/ml-metadata,Y,660,909,3619,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/ml-metadata/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and documentations in https://github.com/google/ml-metadata/tree/master/g3doc",Checking https://github.com/google/ml-metadata/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/ml-metadata/issues/42",https://github.com/google/ml-metadata/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-04-03,30,20,1136.7,ML Frameworks / Libraries,2,For recording and retrieving metadata associated with ML developer and data scientist workflows.,,small,2019-01-15T21:02:09Z,2019-01-15 21:02:09,2514,1,0.27631942525559544,Young
GoogleCloudPlatform/healthcare,Y,386,847,7788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/healthcare/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/healthcare/issues/391 and https://github.com/GoogleCloudPlatform/healthcare/issues/463",https://github.com/GoogleCloudPlatform/healthcare/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2024-08-20,322,27,1218.5,Domain-Specific Applications,2,,,small,2018-02-23T00:33:00Z,2018-02-23 00:33:00,2841,0,0.0,Mature
GoogleCloudPlatform/ml-on-gcp,Y,506,376,9308,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/ml-on-gcp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity with only 7 commits in the past 2 months,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/34 and https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/42 but not often",https://github.com/GoogleCloudPlatform/ml-on-gcp/blob/master/LICENSE is provided.,Not much test files,2024-10-24,34,27,1125.2,Data Science / Traditional ML,8,Machine Learning on Google Cloud Platform,samples,small,2017-08-21T21:05:18Z,2017-08-21 21:05:18,3026,19,2.041254834550924,Mature
google-research/text-to-text-transfer-transformer,Y,6425,601,8552,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/text-to-text-transfer-transformer/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/google-research/text-to-text-transfer-transformer/tree/master/t5/scripts",Checking https://github.com/google-research/text-to-text-transfer-transformer/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/text-to-text-transfer-transformer/issues/299",https://github.com/google-research/text-to-text-transfer-transformer/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-28,40,57,4460.3,ML Frameworks / Libraries,4,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""",,small,2019-10-17T21:45:14Z,2019-10-17 21:45:14,2239,10,1.1693171188026192,Young
graphbrain/graphbrain,Y,618,3218,10180,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/graphbrain/graphbrain/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and majority of the functions in https://github.com/graphbrain/graphbrain/tree/master/docs",Checking https://github.com/graphbrain/graphbrain/pulse/monthly there has been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/graphbrain/graphbrain/blob/master/LICENSE is provided,There are few files related to testing.,2025-08-06,6,7,1422.6,Natural Language Processing,4,"Language, Knowledge, Cognition","artificial-intelligence, cognitive-science, computational-social-science, hypergraphs, knowledge, knowledge-base, knowledge-graph, knowledge-representation, natural-language-processing, natural-language-understanding, nlp, philosophy, python, text-analysis, text-mining",small,2016-02-15T11:25:11Z,2016-02-15 11:25:11,3579,1,0.09823182711198428,Mature
greentfrapp/lucent,Y,643,191,2009,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/greentfrapp/lucent/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/greentfrapp/lucent/tree/master/lucent",Checking https://github.com/greentfrapp/lucent/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/greentfrapp/lucent/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,5,11,644.5,ML Frameworks / Libraries,3,Lucid library adapted for PyTorch,,small,2020-05-09T18:07:01Z,2020-05-09 18:07:01,2034,0,0.0,Young
guillaume-be/rust-bert,Y,2951,1120,176,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guillaume-be/rust-bert/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guillaume-be/rust-bert/tree/master/src",Checking https://github.com/guillaume-be/rust-bert/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guillaume-be/rust-bert/issues/56",https://github.com/guillaume-be/rust-bert/blob/master/LICENSE is provided,There are many files related to testing.,2025-05-26,7,47,2926.4,Natural Language Processing,12,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...)","bart, bert, deep-learning, electra, gpt, gpt-2, language-generation, machine-learning, ner, nlp, question-answering, roberta, rust, rust-lang, sentiment-analysis, transformer, translation",small,2020-01-25T09:40:07Z,2020-01-25 09:40:07,2139,0,0.0,Young
hastagAB/Awesome-Python-Scripts,N,2263,471,7569,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,2024-06-21,12,133,5036.5,Natural Language Processing,2,A Curated list of Awesome Python Scripts that Automate Stuffs. ,hacktoberfest,small,2018-10-02T18:06:52Z,2018-10-02 18:06:52,2619,4,0.5284713964856652,Young
henrysky/astroNN,Y,204,2181,10096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and documentation in https://github.com/henrysky/astroNN/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/henrysky/astroNN/issues/6",https://github.com/henrysky/astroNN/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-09,9,5,885.9,ML Frameworks / Libraries,3,Deep Learning for Astronomers with Keras,"astronomy, astrophysics, neural-network, neural-networks, python, science, tensorflow",small,2017-10-14T01:40:28Z,2017-10-14 01:40:28,2973,2,0.19809825673534073,Mature
idealo/image-super-resolution,Y,4789,151,2788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/idealo/image-super-resolution/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented","No commits in the past few months, around 12 commits in the last year",More closed issues than open. Project authors respond to issues: https://github.com/idealo/image-super-resolution/issues,https://github.com/idealo/image-super-resolution/blob/master/LICENSE,There are many files related to testing.,2024-12-18,6,8,2200.9,Computer Vision,4,🔎 Super-scale your images and run experiments with Residual Dense and Adversarial Networks.,"aws, computer-vision, convolutional-neural-networks, deep-learning, docker, e-commerce, idealo, image-processing, image-super-resolution, keras, machine-learning, neural-network, nvidia-docker, super-resolution, tensorflow",small,2018-11-26T13:41:13Z,2018-11-26 13:41:13,2564,0,0.0,Young
interpretml/DiCE,Y,1446,791,7492,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/DiCE/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/DiCE/issues,https://github.com/interpretml/DiCE/blob/master/LICENSE,There are many files related to testing.,2025-07-13,96,23,1505.6999999999998,Data Science / Traditional ML,4,Generate Diverse Counterfactual Explanations for any machine learning model. ,"counterfactual-explanations, deep-learning, explainable-ai, explainable-ml, interpretable-machine-learning, machine-learning, xai",small,2019-05-02T09:51:02Z,2019-05-02 09:51:02,2407,81,10.811532301121197,Young
